process,energy,pat_sign,pat_len,geom_sign,geom_len
23,33.809533,2.921765,0.023057,3.564167,0.157493
32,186.564543,5.652502,2.244272,8.694037,1.407468
24,116.143030,32.594990,15.432240,2.432515,3.929805
42,49.660062,6.914907,0.114456,2.766961,0.329806
23,77.855322,13.884201,0.764825,5.133085,0.913116
32,65.052408,5.112545,0.078080,3.013714,0.256484
42,128.191353,4.165599,0.302456,10.041948,0.650806
32,81.246750,3.809875,0.178652,7.726741,0.413299
21,205.262143,14.967916,25.993851,4.165793,5.224977
32,147.569223,14.681322,0.977075,6.541849,0.954495
42,48.850400,7.788179,0.182566,7.741254,0.526248
42,172.504952,7.224165,0.835499,2.720041,0.916601
23,52.531698,4.028185,0.126917,2.066500,0.299303
32,87.150591,6.687508,0.149452,5.365786,0.476571
32,43.714311,4.460375,0.715483,4.779434,1.069546
32,251.192767,7.217912,1.324240,5.160765,1.189455
42,58.035194,2.973838,0.018255,7.219191,0.160797
32,71.556469,3.516716,0.058160,10.563257,0.241042
24,55.191494,103.225410,12.536184,9.696479,3.573978
23,53.344997,11.218504,0.148954,5.857594,0.363773
23,60.343970,12.134188,0.404802,17.389893,0.582887
23,104.369845,10.431359,1.411031,10.417121,1.224386
32,63.926616,4.879018,0.072316,2.555998,0.268551
42,120.482508,10.209715,0.786520,5.375050,0.965426
32,82.349417,7.540745,0.237251,2.386880,0.460577
23,131.543490,3.584880,0.398775,7.089199,0.611899
42,46.601652,30.578415,1.614855,19.174204,1.228820
32,53.042119,8.761876,0.114890,4.001386,0.335566
32,90.243555,34.723293,6.353603,7.886018,2.456016
21,44.356595,2.317494,0.014695,2.161320,0.137375
32,268.672997,8.617561,10.060560,6.762937,3.137235
24,165.872770,3.759068,0.574750,3.728359,0.742093
32,45.263712,9.212587,0.271338,4.961327,0.564506
23,64.478185,1.485340,0.011465,4.626310,0.115221
24,55.845993,11.607355,3.038646,12.353084,1.859925
32,67.079568,2.780838,0.019108,56.179630,0.124320
23,58.237807,4.110180,0.107906,2.533935,0.309761
32,56.839510,6.904972,0.192007,2.743805,0.491555
42,76.617978,8.674213,0.312913,11.315928,0.495595
32,66.313292,3.990303,0.081452,2.334194,0.276013
24,36.588114,54.164154,2.676012,14.781734,1.522166
32,46.980562,8.549136,0.239453,2.168050,0.426380
42,45.229501,4.150128,0.082945,2.532000,0.364959
42,55.732021,6.610827,0.100377,5.961398,0.325886
24,81.633775,26.213087,3.871371,3.516438,1.552883
42,125.721775,11.202990,0.843505,4.244003,0.935835
42,34.335344,4.713905,0.065157,8.931096,0.273903
32,223.967970,21.528782,7.435221,2.575491,2.815990
42,65.117228,8.920488,0.984902,2.914087,0.929432
24,101.946297,4.144809,0.180485,4.895370,0.407150
42,122.786714,2.291615,0.046772,3.971830,0.180828
24,137.499534,7.358145,6.170832,2.640255,1.880560
42,45.289867,26.218555,1.375966,10.105936,1.139269
24,44.656094,15.211148,0.369641,4.020233,0.533800
23,49.111689,5.265802,0.059453,30.758177,0.229169
32,100.439185,5.179952,0.359555,15.937244,0.596039
42,40.093449,16.075258,0.314937,2.487200,0.541271
42,98.556559,10.481197,0.834382,23.827257,0.853582
32,35.516491,10.360688,0.147645,3.029007,0.349263
32,95.513955,11.318811,0.757320,4.614384,0.899886
24,107.838865,13.993273,6.201677,3.016285,1.918206
42,118.874754,4.250461,0.230583,18.371973,0.484601
32,54.242637,23.079798,1.318207,53.049850,1.115493
32,71.058658,15.117105,1.147347,11.530474,1.325522
32,82.103635,4.219766,0.096612,3.099015,0.443136
32,135.086982,6.884163,0.949235,6.061105,0.845663
24,36.348274,13.102309,0.124313,13.758267,0.355263
32,97.588913,5.378348,1.561199,2.586438,1.128380
42,65.894751,8.285222,0.299811,24.670818,0.557685
32,58.897425,7.306402,0.207862,3.085113,0.412835
42,75.668721,5.635976,0.123682,3.798745,0.370179
32,45.920213,12.176698,0.478708,5.137593,0.650900
32,56.273821,6.311523,0.103884,3.869660,0.270111
32,69.974223,12.964273,0.506405,21.313070,0.737640
24,56.467681,24.553898,0.872730,7.745219,0.984014
