dtag,nbin,pileup
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,47,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,48,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,49,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,50,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,51,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,52,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,53,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,54,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,55,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,56,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,57,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,58,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,59,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,60,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,61,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,62,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,63,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,64,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,65,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,66,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,67,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,68,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,69,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,70,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,71,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,72,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,73,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,74,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,75,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,76,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,77,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,78,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,79,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,80,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,81,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,82,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,83,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,84,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,85,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,86,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,87,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,88,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,89,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,90,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,91,0
