"nbin","pileup","err","pileup_norm","err_norm","mc_pileup_average_norm","ratio"
28,1411278000,5997556,0.038852963784662,0.000165114758441981,0.039284454168414,0.989016256102167
29,1239408000,5631105,0.0341213241745569,0.000155026237660212,0.0349916247884288,0.975128316586211
30,1069385000,5227252,0.0294405331032304,0.000143908027085593,0.030700463579901,0.958960539035786
31,903985100,4782679,0.0248870175487566,0.00013166878104857,0.0272639648679511,0.912817254177559
32,747330300,4311978,0.0205742575743975,0.00011871022227673,0.0237111272264636,0.867704743764139
33,603700100,3834358,0.0166200692720335,0.000105561181079439,0.0208000109155453,0.799041372599096
34,476241300,3367539,0.0131110851169368,0.0000927094950891581,0.0182570636182836,0.718137669400828
35,366442500,2919085,0.0100882867738752,0.0000803634038009167,0.0160857460199702,0.627156910307467
36,274347600,2484885,0.00755288282479351,0.0000684097299851977,0.0142424480544213,0.530307907456183
37,199084300,2060137,0.00548085855373271,0.0000567162729472452,0.0127993900684885,0.42821247922011
38,139340700,1649207,0.00383609690707958,0.0000454032301533866,0.0115750252354707,0.331411537257315
39,93585210,1266130,0.00257643269073137,0.0000348569899315897,0.010550837164912,0.244192252279239
40,60042520,927996.3,0.00165299101601516,0.0000255480540589454,0.00957742275072699,0.172592466578724
41,36670910,647775.8,0.00100956263626344,0.0000178334882978268,0.00890275850093659,0.113398856787729
42,21271560,430367,0.000585613288326797,0.0000118481500208418,0.00828307680551582,0.0706999708051516
43,11704930,272416.3,0.000322240707636627,0.00000749971347831655,0.00763392845912128,0.0422116488728163
44,6107991,164707.8,0.000168155071587626,0.00000453446180586061,0.00696899032047765,0.0241290436425948
45,3024083,95485.19,0.0000832540344856308,0.000002628739786946,0.00620832179272203,0.0134100707510408
46,1422435,53345.62,0.0000391601197928656,0.00000146862307917387,0.00547774058230865,0.00714895479339424
47,637381.7,28987.02,0.0000175473351863391,0.000000798022528718845,0.00484018291418648,0.00362534546678148
48,273659.5,15767.49,0.00000753393919754202,0.000000434084367463406,0.00407281641516267,0.00184981065424259
49,114087.4,9379.047,0.00000314086496103974,0.000000258208356840851,0.00337344084578009,0.000931056776931104
50,47645.65,6916.472,0.00000131170096461979,0.000000190412828750699,0.00270882266126294,0.000484232867428918
51,21303.4,6173.651,0.000000586489854366162,0.000000169962713740413,0.00212764947735988,0.000275651539695305
52,11287.36,5913.23,0.000000310744863382298,0.000000162793234954684,0.00160394561279288,0.000193737780697695
53,7564.405,5727.614,0.000000208250644818042,0.000000157683163284996,0.00117547865865733,0.000177162420843874
54,6136.185,5525.855,0.000000168931262005775,0.000000152128669329709,0.000861309171274856,0.000196133128079588
55,5494.789,5294.447,0.000000151273411773838,0.000000145757928310944,0.00056599015594087,0.000267272160453692
56,5101.788,5035.266,0.000000140453960453591,0.000000138622587147352,0.000367008772565391,0.00038269919128041
57,4776.067,4753.036,0.000000131486750437631,0.000000130852699167134,0.000244203441549255,0.000538431193284845
58,4461.642,4453.089,0.000000122830523147195,0.000000122595056145477,0.000159268930605085,0.000771214590821603
59,4144.332,4140.881,0.000000114094870824611,0.000000113999863619779,0.000100152989282999,0.00113920584539136
60,3823.284,3821.785,0.000000105256310089492,0.000000105215042109184,0.0000663474317634276,0.00158644136316836
61,3501.615,3500.93,0.0000000964006530129636,0.0000000963817947297675,0.0000366576394538968,0.00262975615585406
62,3183.395,3183.073,0.0000000876399480805866,0.0000000876310833109674,0.0000263122754715286,0.0033307627907521
63,2872.638,2872.485,0.0000000790847020788561,0.00000007908048993677,0.0000211559498880688,0.00373817779382514
64,2572.951,2572.879,0.0000000708342169457116,0.0000000708322347612004,0.000018001240951283,0.00393496299157436
