"nbin","data_pileup","data_pileup_err","data_pileup_norm","data_pileup_err_norm","pileup_up","pileup_up_err","pileup_up_err_norm","pileup_up_norm","pileup_down","pileup_down_err","pileup_down_norm","pileup_down_err_norm","pileup_normalized_average","pileup_normalized_average_dev"
35,534466800,3505203,0.0146377685551586,9.59991345633587e-05,693307000,3964197,0.000108569883342022,0.0189880220660596,382027800,2991757,0.0104628281454097,8.19370719717947e-05,0.0160857460199702,7.25870867540384e-05
36,427126800,3106100,0.0116979824417635,8.50686570413321e-05,574816300,3575084,9.7913008061388e-05,0.0157428449277604,292096300,2593080,0.00799981935558099,7.10182620408747e-05,0.0142424480544213,5.19109679651696e-05
37,335105600,2730533,0.00917774165642762,7.47827743205434e-05,468630300,3198102,8.75883718836092e-05,0.0128346641202586,218045300,2208220,0.00597173949595892,6.04778667082776e-05,0.0127993900684885,4.46300053994973e-05
38,257724600,2372114,0.00705846096665095,6.496653434498e-05,375764400,2841553,7.78233467509746e-05,0.0102912890232461,158247500,1834147,0.00433402070985597,5.02329015176872e-05,0.0115750252354707,3.39931620279638e-05
39,193751400,2024166,0.0053063878812266,5.5437070039189e-05,296170100,2504238,6.85850949185066e-05,0.00811139133761391,111123900,1476434,0.00304341796211608,4.04359976159844e-05,0.010550837164912,5.38203223846288e-05
40,141830900,1686017,0.00388440944913669,4.61759769288998e-05,229071800,2179769,5.96986643303944e-05,0.00627372923266604,75153720,1146053,0.00205828072419923,3.13876518529049e-05,0.00957742275072699,4.11423367127078e-05
41,100671400,1363558,0.00275714909387037,3.73445954276954e-05,173377100,1863629,5.10403451500542e-05,0.00474838448270308,48757170,854534.1,0.00133534232473795,2.34036461029598e-05,0.00890275850093659,4.4705881121724e-05
42,69013860,1066279,0.00189012471827646,2.92028339594265e-05,127960400,1556708,4.26345123508223e-05,0.00350452959335737,30248160,610254.6,0.000828424789491379,1.67134145859168e-05,0.00828307680551582,8.09264697510978e-05
43,45540080,803604.6,0.0012472339741653,2.20088097982154e-05,91753900,1264798,3.46397949726573e-05,0.00251292007414757,17902160,416465.9,0.000490297364515428,1.14060053748009e-05,0.00763392845912128,4.92237475806822e-05
44,28847480,582236.5,0.000790063546771414,1.59460664934952e-05,63704110,996051.2,2.72794622937965e-05,0.00174470335129847,10090610,271055.5,0.00027635768473486,7.42356214487032e-06,0.00696899032047765,3.00895703481839e-05
45,17506320,404768.8,0.000479456273827569,1.10856502457202e-05,42702060,758209.1,2.07655355008491e-05,0.00116950738640487,5410664,167885.9,0.000148185151930186,4.59799344376884e-06,0.00620832179272203,3.45595624429825e-05
46,10162640,269528.7,0.000278330426191856,7.38174706000969e-06,27571630,556683.3,1.52462253867434e-05,0.000755121063017151,2758541,98734.53,7.55498432707424e-05,2.70410273652283e-06,0.00547774058230865,6.70426162792263e-05
47,5637781,171588.6,0.000154405350234422,4.69940174675713e-06,17117560,393564.5,1.07787912287309e-05,0.000468809065820913,1337580,55074.77,3.66331185079648e-05,1.50836628553724e-06,0.00484018291418648,2.86330514886445e-05
48,2987282,104230.8,8.18145159343694e-05,2.85463255476117e-06,10205090,267514.8,7.32659114273695e-06,0.000279493029936413,617866.3,29300.67,1.69218808519698e-05,8.02475303512887e-07,0.00407281641516267,2.48476958629601e-05
49,1512002,60333.77,4.14101218839729e-05,1.65239779406349e-06,5837087,174544.1,4.78034582414503e-06,0.000159863865152825,273171.4,15371.59,7.48151158748385e-06,4.20991101934722e-07,0.00337344084578009,3.07197729986082e-05
50,731845.4,33370.16,2.00434967772694e-05,9.13928945125521e-07,3201566,109126.8,2.98872229243102e-06,8.76832425663469e-05,116957.1,8911.916,3.20317536494855e-06,2.44076073925318e-07,0.00270882266126294,2.69657928331906e-05
51,339822,17976.99,9.30691258269198e-06,4.923468004718e-07,1683875,65288.34,1.7880916254652e-06,4.61173126140168e-05,49866.21,6636.37,1.36571627900616e-06,1.81754309030265e-07,0.00212764947735988,2.46244834774775e-05
52,152545.4,10142.75,4.17785400207103e-06,2.7778568661858e-07,849886.3,37420.72,1.02486410361909e-06,2.32763549452721e-05,22468.16,5997.03,6.15349188785653e-07,1.64244314871499e-07,0.00160394561279288,1.82551950219858e-05
53,67404.82,6921.509,1.84605695744269e-06,1.89563592714173e-07,412538.4,20777.7,5.69051554480147e-07,1.1298441011409e-05,11744.55,5741.823,3.21655147335275e-07,1.57254805253336e-07,0.00117547865865733,2.14973634684579e-05
54,30489.69,5913.04,8.35039754646191e-07,1.61944036519004e-07,193593.6,11689.28,3.20141447549714e-07,5.30206611017619e-06,7639.01,5529.369,2.09214221664146e-07,1.51436198097509e-07,0.000861309171274856,1.70182897061911e-05
55,15152.11,5586.478,4.14980087261369e-07,1.53000283651829e-07,88881.15,7461.976,2.04365692174473e-07,2.43424231611213e-06,6018.736,5296.818,1.64838790319946e-07,1.45067182156672e-07,0.00056599015594087,1.1140643562715e-05
56,8975.911,5388.072,2.45828754545095e-07,1.47566417398669e-07,40970.21,5935.172,1.62550178927747e-07,1.12207615317759e-06,5281.034,5037.888,1.44634896130767e-07,1.37975708468917e-07,0.000367008772565391,1.06901983857141e-05
57,6496.155,5189.187,1.77914163028343e-07,1.42119432480068e-07,19934.57,5459.264,1.49516195994624e-07,5.45960238447629e-07,4837.605,4756.064,1.3249043590643e-07,1.30257222852812e-07,0.000244203441549255,8.56562593334012e-06
58,5434.805,4968.316,1.48846322601177e-07,1.36070303556538e-07,11012.54,5247.98,1.43729632099834e-07,3.01607156026644e-07,4484.041,4456.487,1.22807163195901e-07,1.22052525008003e-07,0.000159268930605085,6.30039587519873e-06
59,4889.958,4725.228,1.33924265171282e-07,1.29412704090049e-07,7298.604,5072.069,1.3891185015091e-07,1.99891323473484e-07,4154.077,4144.582,1.13770238065918e-07,1.13510192715185e-07,0.000100152989282999,5.47769222963924e-06
60,4521.716,4463.575,1.23838996697564e-07,1.22246653634224e-07,5722.913,4882.75,1.33726855120535e-07,1.56736912112729e-07,3829.091,3825.714,1.04869648455256e-07,1.04777160498497e-07,6.63474317634276e-05,5.76583238732531e-06
61,4208.464,4187.74,1.15259772926433e-07,1.14692192085982e-07,4985.459,4673.235,1.27988739908702e-07,1.36539809206363e-07,3506.268,3505.015,9.60282982436075e-08,9.5993981569098e-08,3.66576394538968e-05,2.88691204273075e-06
62,3909.763,3902.224,1.07079066276002e-07,1.06872591080279e-07,4560.494,4445.226,1.21744118228464e-07,1.24901033314437e-07,3187.728,3187.239,8.73042491627846e-08,8.72908566218148e-08,2.63122754715286e-05,2.99725015911207e-06
63,3614.274,3611.447,9.89863286305668e-08,9.89089038556221e-08,4244.754,4202.096,1.15085368490006e-07,1.16253669178293e-07,2876.865,2876.665,7.87904547589049e-08,7.87849772370359e-08,2.11559498880688e-05,2.06137523574198e-06
64,3320.722,3319.619,9.09466407867121e-08,9.09164322523067e-08,3963.531,3947.562,1.08114290441519e-07,1.08551643193436e-07,2577.094,2577.008,7.05804437178822e-08,7.05780883834785e-08,1.8001240951283e-05,2.10582663909709e-06
