dtag,nbin,pileup
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,47,238280
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,48,200723
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,49,166309
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,50,132188
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,51,104828
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,52,78749
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,53,58029
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,54,42025
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,55,27778
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,56,17743
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,57,12302
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,58,7642
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,59,4857
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,60,3264
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,61,1888
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,62,1284
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,63,996
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,64,851
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,65,727
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,66,668
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,67,664
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,68,699
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,69,704
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,70,679
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,71,662
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,72,648
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,73,670
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,74,647
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,75,621
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,76,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,77,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,78,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,79,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,80,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,81,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,82,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,83,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,84,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,85,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,86,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,87,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,88,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,89,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,90,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,91,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,92,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,93,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,94,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,95,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,96,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,97,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,98,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,99,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,100,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,101,0
MC2016_Summer16_DYJetsToLL_50toInf_madgraph_,102,0
MC2016_Summer16_QCD_HT-100-200_,0,0
MC2016_Summer16_QCD_HT-100-200_,1,1462
MC2016_Summer16_QCD_HT-100-200_,2,2114
MC2016_Summer16_QCD_HT-100-200_,3,4212
MC2016_Summer16_QCD_HT-100-200_,4,7224
MC2016_Summer16_QCD_HT-100-200_,5,8855
MC2016_Summer16_QCD_HT-100-200_,6,11461
MC2016_Summer16_QCD_HT-100-200_,7,19121
MC2016_Summer16_QCD_HT-100-200_,8,57454
MC2016_Summer16_QCD_HT-100-200_,9,104953
MC2016_Summer16_QCD_HT-100-200_,10,197314
MC2016_Summer16_QCD_HT-100-200_,11,404878
MC2016_Summer16_QCD_HT-100-200_,12,745147
MC2016_Summer16_QCD_HT-100-200_,13,1.18414e+06
MC2016_Summer16_QCD_HT-100-200_,14,1.64835e+06
MC2016_Summer16_QCD_HT-100-200_,15,2.15774e+06
MC2016_Summer16_QCD_HT-100-200_,16,2.72222e+06
MC2016_Summer16_QCD_HT-100-200_,17,3.23806e+06
MC2016_Summer16_QCD_HT-100-200_,18,3.63094e+06
MC2016_Summer16_QCD_HT-100-200_,19,3.95616e+06
MC2016_Summer16_QCD_HT-100-200_,20,4.23127e+06
MC2016_Summer16_QCD_HT-100-200_,21,4.42167e+06
MC2016_Summer16_QCD_HT-100-200_,22,4.51952e+06
MC2016_Summer16_QCD_HT-100-200_,23,4.47511e+06
MC2016_Summer16_QCD_HT-100-200_,24,4.33732e+06
MC2016_Summer16_QCD_HT-100-200_,25,4.13652e+06
MC2016_Summer16_QCD_HT-100-200_,26,3.84736e+06
MC2016_Summer16_QCD_HT-100-200_,27,3.51199e+06
MC2016_Summer16_QCD_HT-100-200_,28,3.17206e+06
MC2016_Summer16_QCD_HT-100-200_,29,2.82476e+06
MC2016_Summer16_QCD_HT-100-200_,30,2.48066e+06
MC2016_Summer16_QCD_HT-100-200_,31,2.20031e+06
MC2016_Summer16_QCD_HT-100-200_,32,1.9113e+06
MC2016_Summer16_QCD_HT-100-200_,33,1.68148e+06
MC2016_Summer16_QCD_HT-100-200_,34,1.47345e+06
MC2016_Summer16_QCD_HT-100-200_,35,1.29852e+06
MC2016_Summer16_QCD_HT-100-200_,36,1.15051e+06
MC2016_Summer16_QCD_HT-100-200_,37,1.03059e+06
MC2016_Summer16_QCD_HT-100-200_,38,932596
MC2016_Summer16_QCD_HT-100-200_,39,850988
MC2016_Summer16_QCD_HT-100-200_,40,774743
MC2016_Summer16_QCD_HT-100-200_,41,718333
MC2016_Summer16_QCD_HT-100-200_,42,668248
MC2016_Summer16_QCD_HT-100-200_,43,614474
MC2016_Summer16_QCD_HT-100-200_,44,562165
MC2016_Summer16_QCD_HT-100-200_,45,500276
MC2016_Summer16_QCD_HT-100-200_,46,440429
MC2016_Summer16_QCD_HT-100-200_,47,389661
MC2016_Summer16_QCD_HT-100-200_,48,329052
MC2016_Summer16_QCD_HT-100-200_,49,273070
MC2016_Summer16_QCD_HT-100-200_,50,217473
MC2016_Summer16_QCD_HT-100-200_,51,171198
MC2016_Summer16_QCD_HT-100-200_,52,129556
MC2016_Summer16_QCD_HT-100-200_,53,95091
MC2016_Summer16_QCD_HT-100-200_,54,69270
MC2016_Summer16_QCD_HT-100-200_,55,46009
MC2016_Summer16_QCD_HT-100-200_,56,29408
MC2016_Summer16_QCD_HT-100-200_,57,19771
MC2016_Summer16_QCD_HT-100-200_,58,12885
MC2016_Summer16_QCD_HT-100-200_,59,7939
MC2016_Summer16_QCD_HT-100-200_,60,5341
MC2016_Summer16_QCD_HT-100-200_,61,2862
MC2016_Summer16_QCD_HT-100-200_,62,2216
MC2016_Summer16_QCD_HT-100-200_,63,1641
MC2016_Summer16_QCD_HT-100-200_,64,1437
MC2016_Summer16_QCD_HT-100-200_,65,1117
MC2016_Summer16_QCD_HT-100-200_,66,1057
MC2016_Summer16_QCD_HT-100-200_,67,1028
MC2016_Summer16_QCD_HT-100-200_,68,1125
MC2016_Summer16_QCD_HT-100-200_,69,1059
MC2016_Summer16_QCD_HT-100-200_,70,1121
MC2016_Summer16_QCD_HT-100-200_,71,1067
MC2016_Summer16_QCD_HT-100-200_,72,1148
MC2016_Summer16_QCD_HT-100-200_,73,1102
MC2016_Summer16_QCD_HT-100-200_,74,1095
MC2016_Summer16_QCD_HT-100-200_,75,1087
MC2016_Summer16_QCD_HT-100-200_,76,0
MC2016_Summer16_QCD_HT-100-200_,77,0
MC2016_Summer16_QCD_HT-100-200_,78,0
MC2016_Summer16_QCD_HT-100-200_,79,0
MC2016_Summer16_QCD_HT-100-200_,80,0
MC2016_Summer16_QCD_HT-100-200_,81,0
MC2016_Summer16_QCD_HT-100-200_,82,0
MC2016_Summer16_QCD_HT-100-200_,83,0
MC2016_Summer16_QCD_HT-100-200_,84,0
MC2016_Summer16_QCD_HT-100-200_,85,0
MC2016_Summer16_QCD_HT-100-200_,86,0
MC2016_Summer16_QCD_HT-100-200_,87,0
MC2016_Summer16_QCD_HT-100-200_,88,0
MC2016_Summer16_QCD_HT-100-200_,89,0
MC2016_Summer16_QCD_HT-100-200_,90,0
MC2016_Summer16_QCD_HT-100-200_,91,0
MC2016_Summer16_QCD_HT-100-200_,92,0
MC2016_Summer16_QCD_HT-100-200_,93,0
MC2016_Summer16_QCD_HT-100-200_,94,0
MC2016_Summer16_QCD_HT-100-200_,95,0
MC2016_Summer16_QCD_HT-100-200_,96,0
MC2016_Summer16_QCD_HT-100-200_,97,0
MC2016_Summer16_QCD_HT-100-200_,98,0
MC2016_Summer16_QCD_HT-100-200_,99,0
MC2016_Summer16_QCD_HT-100-200_,100,0
MC2016_Summer16_QCD_HT-100-200_,101,0
MC2016_Summer16_QCD_HT-100-200_,102,0
MC2016_Summer16_QCD_HT-1000-1500_,0,0
MC2016_Summer16_QCD_HT-1000-1500_,1,81
MC2016_Summer16_QCD_HT-1000-1500_,2,140
MC2016_Summer16_QCD_HT-1000-1500_,3,233
MC2016_Summer16_QCD_HT-1000-1500_,4,393
MC2016_Summer16_QCD_HT-1000-1500_,5,502
MC2016_Summer16_QCD_HT-1000-1500_,6,655
MC2016_Summer16_QCD_HT-1000-1500_,7,1145
MC2016_Summer16_QCD_HT-1000-1500_,8,3350
MC2016_Summer16_QCD_HT-1000-1500_,9,6226
MC2016_Summer16_QCD_HT-1000-1500_,10,11662
MC2016_Summer16_QCD_HT-1000-1500_,11,23938
MC2016_Summer16_QCD_HT-1000-1500_,12,43687
MC2016_Summer16_QCD_HT-1000-1500_,13,69838
MC2016_Summer16_QCD_HT-1000-1500_,14,97261
MC2016_Summer16_QCD_HT-1000-1500_,15,127528
MC2016_Summer16_QCD_HT-1000-1500_,16,161274
MC2016_Summer16_QCD_HT-1000-1500_,17,191157
MC2016_Summer16_QCD_HT-1000-1500_,18,214372
MC2016_Summer16_QCD_HT-1000-1500_,19,233472
MC2016_Summer16_QCD_HT-1000-1500_,20,250479
MC2016_Summer16_QCD_HT-1000-1500_,21,261284
MC2016_Summer16_QCD_HT-1000-1500_,22,266971
MC2016_Summer16_QCD_HT-1000-1500_,23,263875
MC2016_Summer16_QCD_HT-1000-1500_,24,256523
MC2016_Summer16_QCD_HT-1000-1500_,25,244881
MC2016_Summer16_QCD_HT-1000-1500_,26,226692
MC2016_Summer16_QCD_HT-1000-1500_,27,208217
MC2016_Summer16_QCD_HT-1000-1500_,28,186861
MC2016_Summer16_QCD_HT-1000-1500_,29,166996
MC2016_Summer16_QCD_HT-1000-1500_,30,145544
MC2016_Summer16_QCD_HT-1000-1500_,31,129893
MC2016_Summer16_QCD_HT-1000-1500_,32,112870
MC2016_Summer16_QCD_HT-1000-1500_,33,98929
MC2016_Summer16_QCD_HT-1000-1500_,34,86931
MC2016_Summer16_QCD_HT-1000-1500_,35,77252
MC2016_Summer16_QCD_HT-1000-1500_,36,67567
MC2016_Summer16_QCD_HT-1000-1500_,37,61093
MC2016_Summer16_QCD_HT-1000-1500_,38,55334
MC2016_Summer16_QCD_HT-1000-1500_,39,50430
MC2016_Summer16_QCD_HT-1000-1500_,40,46051
MC2016_Summer16_QCD_HT-1000-1500_,41,42740
MC2016_Summer16_QCD_HT-1000-1500_,42,39318
MC2016_Summer16_QCD_HT-1000-1500_,43,36442
MC2016_Summer16_QCD_HT-1000-1500_,44,33356
MC2016_Summer16_QCD_HT-1000-1500_,45,29645
MC2016_Summer16_QCD_HT-1000-1500_,46,26257
MC2016_Summer16_QCD_HT-1000-1500_,47,23207
MC2016_Summer16_QCD_HT-1000-1500_,48,19469
MC2016_Summer16_QCD_HT-1000-1500_,49,16133
MC2016_Summer16_QCD_HT-1000-1500_,50,12986
MC2016_Summer16_QCD_HT-1000-1500_,51,10241
MC2016_Summer16_QCD_HT-1000-1500_,52,7597
MC2016_Summer16_QCD_HT-1000-1500_,53,5575
