i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
556, 38.5,0.975,0.0965, 652,64, 10558,1267
568, 38.5,2.25,0.0965, 477,33, 9484,726
580, 38.5,3.6,0.0965, 0,0, 0,0
521, 41.5,-2.25,0.0965, 469,46, 9085,766
533, 41.5,-0.975,0.0965, 673,56, 10976,1296
545, 41.5,0,0.0965, 742,62, 10858,1401
557, 41.5,0.975,0.0965, 657,64, 11405,1359
569, 41.5,2.25,0.0965, 498,27, 9177,761
581, 41.5,3.6,0.0965, 0,0, 0,0
522, 44,-2.25,0.0965, 338,26, 5922,485
534, 44,-0.975,0.0965, 453,36, 7597,900
546, 44,0,0.0965, 457,34, 7089,889
558, 44,0.975,0.0965, 471,36, 7769,879
570, 44,2.25,0.0965, 319,15, 6191,521
582, 44,3.6,0.0965, 0,0, 0,0
523, 46.5,-2.25,0.0965, 473,21, 8928,740
535, 46.5,-0.975,0.0965, 665,45, 10980,1266
547, 46.5,0,0.0965, 745,37, 10069,1133
559, 46.5,0.975,0.0965, 681,34, 11150,1213
571, 46.5,2.25,0.0965, 431,15, 9196,790
583, 46.5,3.6,0.0965, 0,0, 0,0
524, 52,-2.25,0.0965, 1213,40, 21611,1499
536, 52,-0.975,0.0965, 1591,85, 25055,2486
548, 52,0,0.0965, 1569,51, 21691,2090
560, 52,0.975,0.0965, 1490,85, 25295,2382
572, 52,2.25,0.0965, 1105,55, 21897,1465
584, 52,3.6,0.0965, 0,0, 0,0
525, 59.5,-2.25,0.0965, 827,28, 14033,726
537, 59.5,-0.975,0.0965, 954,29, 14970,1160
549, 59.5,0,0.0965, 993,21, 12538,1019
561, 59.5,0.975,0.0965, 1034,29, 14731,1189
573, 59.5,2.25,0.0965, 798,22, 14323,723
585, 59.5,3.6,0.0965, 0,0, 0,0
526, 281.5,-2.25,0.0965, 3992,41, 42186,1102
538, 281.5,-0.975,0.0965, 5385,45, 54173,1786
550, 281.5,0,0.0965, 5054,32, 50171,1465
562, 281.5,0.975,0.0965, 5246,52, 53520,1771
574, 281.5,2.25,0.0965, 3768,32, 41892,1101
586, 281.5,3.6,0.0965, 0,0, 0,0
601, 14.5,-2.25,0.1035, 1940,33, 26140,395
613, 14.5,-0.975,0.1035, 2155,131, 37087,1544
625, 14.5,0,0.1035, 2329,153, 36920,2018
637, 14.5,0.975,0.1035, 2150,119, 37387,1716
649, 14.5,2.25,0.1035, 1930,28, 26800,430
661, 14.5,3.6,0.1035, 0,0, 0,0
602, 31,-2.25,0.1035, 848,36, 14639,683
614, 31,-0.975,0.1035, 1039,92, 19856,1349
626, 31,0,0.1035, 1068,90, 17939,1427
638, 31,0.975,0.1035, 1044,95, 20118,1391
650, 31,2.25,0.1035, 785,53, 14909,723
662, 31,3.6,0.1035, 0,0, 0,0
603, 35,-2.25,0.1035, 885,48, 14178,808
615, 35,-0.975,0.1035, 1044,108, 16843,1397
627, 35,0,0.1035, 1245,107, 15713,1576
639, 35,0.975,0.1035, 1093,93, 16962,1507
651, 35,2.25,0.1035, 853,48, 14451,790
663, 35,3.6,0.1035, 0,0, 0,0
604, 38.5,-2.25,0.1035, 644,39, 10335,680
616, 38.5,-0.975,0.1035, 835,60, 11449,1144
628, 38.5,0,0.1035, 900,80, 10885,1160
640, 38.5,0.975,0.1035, 781,70, 11560,1189
652, 38.5,2.25,0.1035, 599,39, 10138,671
664, 38.5,3.6,0.1035, 0,0, 0,0
605, 41.5,-2.25,0.1035, 608,29, 9707,704
617, 41.5,-0.975,0.1035, 835,46, 11797,1188
629, 41.5,0,0.1035, 834,60, 11206,1191
641, 41.5,0.975,0.1035, 834,48, 12061,1284
653, 41.5,2.25,0.1035, 565,35, 9805,766
665, 41.5,3.6,0.1035, 0,0, 0,0
606, 44,-2.25,0.1035, 408,22, 6312,485
618, 44,-0.975,0.1035, 598,43, 7904,800
630, 44,0,0.1035, 615,33, 7354,784
642, 44,0.975,0.1035, 586,43, 8045,864
654, 44,2.25,0.1035, 382,15, 6465,484
666, 44,3.6,0.1035, 0,0, 0,0
607, 46.5,-2.25,0.1035, 549,27, 9468,694
619, 46.5,-0.975,0.1035, 816,39, 11493,1053
631, 46.5,0,0.1035, 856,35, 10529,1063
643, 46.5,0.975,0.1035, 875,54, 11878,1175
655, 46.5,2.25,0.1035, 553,28, 9467,752
667, 46.5,3.6,0.1035, 0,0, 0,0
608, 52,-2.25,0.1035, 1429,56, 22128,1400
620, 52,-0.975,0.1035, 1867,71, 25953,2104
632, 52,0,0.1035, 1960,60, 22804,1831
644, 52,0.975,0.1035, 1939,76, 26255,2093
656, 52,2.25,0.1035, 1303,46, 22146,1357
668, 52,3.6,0.1035, 0,0, 0,0
609, 59.5,-2.25,0.1035, 979,24, 14479,649
621, 59.5,-0.975,0.1035, 1306,32, 15901,994
633, 59.5,0,0.1035, 1218,21, 13669,873
645, 59.5,0.975,0.1035, 1222,37, 15780,1040
657, 59.5,2.25,0.1035, 929,20, 14332,619
669, 59.5,3.6,0.1035, 0,0, 0,0
610, 281.5,-2.25,0.1035, 4282,26, 42956,885
622, 281.5,-0.975,0.1035, 5935,30, 56826,1390
634, 281.5,0,0.1035, 5468,29, 52066,1114
646, 281.5,0.975,0.1035, 6009,39, 57194,1388
658, 281.5,2.25,0.1035, 4147,20, 42588,867
670, 281.5,3.6,0.1035, 0,0, 0,0
685, 14.5,-2.25,0.11, 2100,17, 24943,313
697, 14.5,-0.975,0.11, 2281,98, 34329,1268
709, 14.5,0,0.11, 2453,122, 33787,1628
721, 14.5,0.975,0.11, 2250,89, 34707,1378
733, 14.5,2.25,0.11, 1915,15, 25114,329
745, 14.5,3.6,0.11, 0,0, 0,0
686, 31,-2.25,0.11, 884,32, 12985,554
698, 31,-0.975,0.11, 1102,78, 18138,1156
710, 31,0,0.11, 1169,91, 16445,1214
722, 31,0.975,0.11, 1073,92, 18209,1141
734, 31,2.25,0.11, 833,33, 13344,590
746, 31,3.6,0.11, 0,0, 0,0
687, 35,-2.25,0.11, 880,39, 12945,630
699, 35,-0.975,0.11, 1099,72, 15818,1195
711, 35,0,0.11, 1240,66, 14306,1151
723, 35,0.975,0.11, 1168,89, 15615,1203
735, 35,2.25,0.11, 892,48, 12937,673
747, 35,3.6,0.11, 0,0, 0,0
688, 38.5,-2.25,0.11, 640,38, 9150,484
700, 38.5,-0.975,0.11, 848,58, 10707,867
712, 38.5,0,0.11, 905,55, 10008,826
724, 38.5,0.975,0.11, 845,48, 10811,883
736, 38.5,2.25,0.11, 606,31, 9170,550
748, 38.5,3.6,0.11, 0,0, 0,0
689, 41.5,-2.25,0.11, 624,28, 8753,578
701, 41.5,-0.975,0.11, 867,50, 10469,923
713, 41.5,0,0.11, 866,35, 10267,927
725, 41.5,0.975,0.11, 879,41, 10948,975
737, 41.5,2.25,0.11, 569,22, 8844,598
749, 41.5,3.6,0.11, 0,0, 0,0
690, 44,-2.25,0.11, 356,12, 5677,412
702, 44,-0.975,0.11, 569,28, 6908,604
714, 44,0,0.11, 579,25, 6695,573
726, 44,0.975,0.11, 578,32, 7229,644
738, 44,2.25,0.11, 374,19, 5767,389
750, 44,3.6,0.11, 0,0, 0,0
691, 46.5,-2.25,0.11, 598,27, 8390,585
703, 46.5,-0.975,0.11, 816,38, 10305,891
715, 46.5,0,0.11, 859,34, 9374,764
727, 46.5,0.975,0.11, 802,31, 10532,903
739, 46.5,2.25,0.11, 556,16, 8260,537
751, 46.5,3.6,0.11, 0,0, 0,0
692, 52,-2.25,0.11, 1349,40, 19060,1075
704, 52,-0.975,0.11, 1938,54, 23060,1623
716, 52,0,0.11, 1895,44, 20339,1389
728, 52,0.975,0.11, 2008,46, 23484,1556
740, 52,2.25,0.11, 1316,29, 19323,1037
752, 52,3.6,0.11, 0,0, 0,0
693, 59.5,-2.25,0.11, 977,16, 12504,494
705, 59.5,-0.975,0.11, 1316,14, 14250,743
717, 59.5,0,0.11, 1171,13, 12241,610
729, 59.5,0.975,0.11, 1271,32, 14359,703
741, 59.5,2.25,0.11, 950,13, 12382,455
753, 59.5,3.6,0.11, 0,0, 0,0
694, 281.5,-2.25,0.11, 3823,20, 36489,585
706, 281.5,-0.975,0.11, 5545,27, 50268,892
718, 281.5,0,0.11, 4884,19, 44829,707
730, 281.5,0.975,0.11, 5602,23, 50534,921
742, 281.5,2.25,0.11, 3822,12, 36665,556
754, 281.5,3.6,0.11, 0,0, 0,0
769, 14.5,-2.25,0.1165, 2939,29, 31729,303
781, 14.5,-0.975,0.1165, 3234,109, 42992,1371
793, 14.5,0,0.1165, 3359,133, 41658,1702
805, 14.5,0.975,0.1165, 3214,103, 43308,1459
817, 14.5,2.25,0.1165, 2746,20, 32038,327
829, 14.5,3.6,0.1165, 0,0, 0,0
770, 31,-2.25,0.1165, 1202,53, 15622,579
782, 31,-0.975,0.1165, 1455,91, 22035,1234
794, 31,0,0.1165, 1621,94, 20052,1209
806, 31,0.975,0.1165, 1521,109, 22080,1264
818, 31,2.25,0.1165, 1086,34, 15760,606
830, 31,3.6,0.1165, 0,0, 0,0
771, 35,-2.25,0.1165, 1164,56, 15600,689
783, 35,-0.975,0.1165, 1487,84, 19282,1172
795, 35,0,0.1165, 1681,101, 18145,1263
807, 35,0.975,0.1165, 1572,90, 19509,1175
819, 35,2.25,0.1165, 1098,30, 15561,727
831, 35,3.6,0.1165, 0,0, 0,0
772, 38.5,-2.25,0.1165, 842,37, 10906,530
784, 38.5,-0.975,0.1165, 1164,49, 13085,871
796, 38.5,0,0.1165, 1289,61, 12249,888
808, 38.5,0.975,0.1165, 1079,45, 13106,922
820, 38.5,2.25,0.1165, 806,36, 11126,578
832, 38.5,3.6,0.1165, 0,0, 0,0
773, 41.5,-2.25,0.1165, 824,26, 10724,601
785, 41.5,-0.975,0.1165, 1136,54, 12497,901
797, 41.5,0,0.1165, 1174,40, 12188,859
809, 41.5,0.975,0.1165, 1159,40, 13087,1005
821, 41.5,2.25,0.1165, 806,30, 10713,542
833, 41.5,3.6,0.1165, 0,0, 0,0
774, 44,-2.25,0.1165, 539,15, 6719,384
786, 44,-0.975,0.1165, 722,26, 8399,631
798, 44,0,0.1165, 781,28, 8026,551
810, 44,0.975,0.1165, 781,30, 8693,653
822, 44,2.25,0.1165, 501,15, 6846,390
834, 44,3.6,0.1165, 0,0, 0,0
775, 46.5,-2.25,0.1165, 769,29, 9675,542
787, 46.5,-0.975,0.1165, 1084,32, 12176,855
799, 46.5,0,0.1165, 1116,37, 11160,760
811, 46.5,0.975,0.1165, 1109,43, 12274,871
823, 46.5,2.25,0.1165, 742,23, 9775,531
835, 46.5,3.6,0.1165, 0,0, 0,0
776, 52,-2.25,0.1165, 1768,40, 22148,1050
788, 52,-0.975,0.1165, 2582,49, 27224,1494
800, 52,0,0.1165, 2494,59, 24120,1249
812, 52,0.975,0.1165, 2587,62, 27494,1598
824, 52,2.25,0.1165, 1726,37, 22244,1062
836, 52,3.6,0.1165, 0,0, 0,0
