i_bin,x,y,z, hj_w_jets_bin,hj_w_tau_jets_bin, hj_q_jets_bin,hj_q_tau_jets_bin, hjm_w_jets_bin,hjm_w_tau_jets_bin, hjm_q_jets_bin,hjm_q_tau_jets_bin
361, 14.5,-0.975,0.0835, 0,0,0,0, 0,0,0,0
373, 14.5,0,0.0835, 0,0,0,0, 0,0,0,0
385, 14.5,0.975,0.0835, 0,0,0,0, 0,0,0,0
397, 14.5,2.25,0.0835, 0,0,0,0, 0,0,0,0
350, 31,-2.25,0.0835, 0,0,0,0, 0,0,0,0
362, 31,-0.975,0.0835, 0,0,0,0, 0,0,0,0
374, 31,0,0.0835, 0,0,0,0, 0,0,0,0
386, 31,0.975,0.0835, 0,0,0,0, 0,0,0,0
398, 31,2.25,0.0835, 0,0,0,0, 0,0,0,0
351, 35,-2.25,0.0835, 0,0,0,0, 0,0,0,0
363, 35,-0.975,0.0835, 0,0,0,0, 0,0,0,0
375, 35,0,0.0835, 0,0,0,0, 0,0,0,0
387, 35,0.975,0.0835, 0,0,0,0, 0,0,0,0
399, 35,2.25,0.0835, 0,0,0,0, 0,0,0,0
352, 38.5,-2.25,0.0835, 0,0,0,0, 0,0,0,0
364, 38.5,-0.975,0.0835, 0,0,0,0, 0,0,0,0
376, 38.5,0,0.0835, 0,0,0,0, 0,0,0,0
388, 38.5,0.975,0.0835, 0,0,0,0, 0,0,0,0
400, 38.5,2.25,0.0835, 0,0,0,0, 0,0,0,0
353, 41.5,-2.25,0.0835, 0,0,0,0, 0,0,0,0
365, 41.5,-0.975,0.0835, 0,0,0,0, 0,0,0,0
377, 41.5,0,0.0835, 0,0,0,0, 0,0,0,0
389, 41.5,0.975,0.0835, 0,0,0,0, 0,0,0,0
401, 41.5,2.25,0.0835, 0,0,0,0, 0,0,0,0
354, 44,-2.25,0.0835, 0,0,0,0, 0,0,0,0
366, 44,-0.975,0.0835, 0,0,0,0, 0,0,0,0
378, 44,0,0.0835, 0,0,0,0, 0,0,0,0
390, 44,0.975,0.0835, 0,0,0,0, 0,0,0,0
402, 44,2.25,0.0835, 0,0,0,0, 0,0,0,0
355, 46.5,-2.25,0.0835, 0,0,0,0, 0,0,0,0
367, 46.5,-0.975,0.0835, 0,0,0,0, 0,0,0,0
379, 46.5,0,0.0835, 0,0,0,0, 0,0,0,0
391, 46.5,0.975,0.0835, 0,0,0,0, 0,0,0,0
403, 46.5,2.25,0.0835, 0,0,0,0, 0,0,0,0
356, 52,-2.25,0.0835, 0,0,0,0, 0,0,0,0
368, 52,-0.975,0.0835, 0,0,1,0, 0,0,0,0
380, 52,0,0.0835, 0,0,0,0, 0,0,0,0
392, 52,0.975,0.0835, 0,0,0,0, 0,0,0,0
404, 52,2.25,0.0835, 0,0,0,0, 0,0,0,0
357, 59.5,-2.25,0.0835, 0,0,0,0, 0,0,0,0
369, 59.5,-0.975,0.0835, 0,0,0,0, 0,0,0,0
381, 59.5,0,0.0835, 0,0,0,0, 0,0,0,0
393, 59.5,0.975,0.0835, 0,0,0,0, 0,0,0,0
405, 59.5,2.25,0.0835, 0,0,0,0, 0,0,0,0
358, 281.5,-2.25,0.0835, 0,0,2,0, 1,0,1,0
370, 281.5,-0.975,0.0835, 0,0,5,0, 0,0,1,0
382, 281.5,0,0.0835, 0,0,3,0, 0,0,1,0
394, 281.5,0.975,0.0835, 0,0,3,0, 0,0,1,0
406, 281.5,2.25,0.0835, 0,0,3,0, 0,0,0,0
433, 14.5,-2.25,0.09, 0,0,0,0, 0,0,0,0
445, 14.5,-0.975,0.09, 0,0,0,0, 0,0,0,0
457, 14.5,0,0.09, 0,0,0,0, 0,0,0,0
469, 14.5,0.975,0.09, 0,0,0,0, 0,0,0,0
481, 14.5,2.25,0.09, 0,0,0,0, 0,0,0,0
434, 31,-2.25,0.09, 0,0,0,0, 0,0,0,0
446, 31,-0.975,0.09, 0,0,0,0, 0,0,0,0
458, 31,0,0.09, 0,0,0,0, 0,0,0,0
470, 31,0.975,0.09, 0,0,0,0, 0,0,0,0
482, 31,2.25,0.09, 0,0,0,0, 0,0,0,0
435, 35,-2.25,0.09, 0,0,0,0, 0,0,0,0
447, 35,-0.975,0.09, 0,0,0,0, 0,0,0,0
459, 35,0,0.09, 0,0,0,0, 0,0,0,0
471, 35,0.975,0.09, 0,0,0,0, 0,0,0,0
483, 35,2.25,0.09, 0,0,0,0, 0,0,0,0
436, 38.5,-2.25,0.09, 0,0,0,0, 0,0,0,0
448, 38.5,-0.975,0.09, 0,0,0,0, 0,0,0,0
460, 38.5,0,0.09, 0,0,0,0, 0,0,0,0
472, 38.5,0.975,0.09, 0,0,0,0, 2,1,1,1
484, 38.5,2.25,0.09, 0,0,0,0, 0,0,0,0
437, 41.5,-2.25,0.09, 0,0,0,0, 0,0,0,0
449, 41.5,-0.975,0.09, 0,0,0,0, 0,0,0,0
461, 41.5,0,0.09, 0,0,0,0, 0,0,0,0
473, 41.5,0.975,0.09, 0,0,0,0, 0,0,0,0
485, 41.5,2.25,0.09, 0,0,0,0, 0,0,0,0
438, 44,-2.25,0.09, 0,0,0,0, 0,0,0,0
450, 44,-0.975,0.09, 0,0,0,0, 0,0,0,0
