i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
433, 14.5,-2.25,0.09, 7942,86, 22083,127
445, 14.5,-0.975,0.09, 6778,212, 40095,316
457, 14.5,0,0.09, 7747,308, 44438,438
469, 14.5,0.975,0.09, 6868,239, 41666,351
481, 14.5,2.25,0.09, 8108,111, 24709,158
434, 31,-2.25,0.09, 2737,112, 32318,162
446, 31,-0.975,0.09, 2547,155, 35809,283
458, 31,0,0.09, 2760,188, 22610,303
470, 31,0.975,0.09, 2555,178, 33954,290
482, 31,2.25,0.09, 2724,137, 34353,150
435, 35,-2.25,0.09, 2531,111, 23049,151
447, 35,-0.975,0.09, 2501,154, 18146,255
459, 35,0,0.09, 2778,174, 14492,256
471, 35,0.975,0.09, 2410,160, 16915,261
483, 35,2.25,0.09, 2505,134, 21134,150
436, 38.5,-2.25,0.09, 1707,73, 10256,97
448, 38.5,-0.975,0.09, 1812,107, 11268,144
460, 38.5,0,0.09, 2103,118, 10303,180
472, 38.5,0.975,0.09, 1886,87, 10610,143
484, 38.5,2.25,0.09, 1793,88, 9988,102
437, 41.5,-2.25,0.09, 1705,68, 8879,87
449, 41.5,-0.975,0.09, 1906,69, 10434,117
461, 41.5,0,0.09, 2143,93, 9645,143
473, 41.5,0.975,0.09, 1929,91, 9917,128
485, 41.5,2.25,0.09, 1780,69, 8873,99
438, 44,-2.25,0.09, 1095,37, 5634,53
450, 44,-0.975,0.09, 1231,55, 6560,88
462, 44,0,0.09, 1435,31, 6063,67
474, 44,0.975,0.09, 1300,36, 6272,82
486, 44,2.25,0.09, 1174,41, 5554,57
439, 46.5,-2.25,0.09, 1623,54, 7799,79
451, 46.5,-0.975,0.09, 1847,65, 9105,111
463, 46.5,0,0.09, 2167,63, 8544,98
475, 46.5,0.975,0.09, 1935,72, 8835,110
487, 46.5,2.25,0.09, 1604,47, 7617,70
440, 52,-2.25,0.09, 3859,104, 16782,155
452, 52,-0.975,0.09, 4839,129, 20557,211
464, 52,0,0.09, 5548,133, 19168,180
476, 52,0.975,0.09, 4834,136, 19431,212
488, 52,2.25,0.09, 4017,94, 16836,156
441, 59.5,-2.25,0.09, 3152,49, 11291,58
453, 59.5,-0.975,0.09, 3810,55, 13832,101
465, 59.5,0,0.09, 4447,71, 13231,133
477, 59.5,0.975,0.09, 3816,73, 13132,118
489, 59.5,2.25,0.09, 3148,66, 11061,69
442, 281.5,-2.25,0.09, 20464,125, 47952,183
454, 281.5,-0.975,0.09, 33307,179, 70768,278
466, 281.5,0,0.09, 37592,188, 73406,299
478, 281.5,0.975,0.09, 33565,156, 68528,246
490, 281.5,2.25,0.09, 20476,123, 47832,183
517, 14.5,-2.25,0.0965, 13008,135, 30452,174
529, 14.5,-0.975,0.0965, 11247,294, 52084,452
541, 14.5,0,0.0965, 12575,429, 60065,582
553, 14.5,0.975,0.0965, 11646,349, 55341,465
565, 14.5,2.25,0.0965, 13110,160, 33446,219
518, 31,-2.25,0.0965, 4402,137, 41549,177
530, 31,-0.975,0.0965, 4340,264, 53145,396
542, 31,0,0.0965, 4602,262, 35263,380
554, 31,0.975,0.0965, 4435,230, 50687,393
566, 31,2.25,0.0965, 4482,165, 44611,240
519, 35,-2.25,0.0965, 4073,162, 34214,210
531, 35,-0.975,0.0965, 4164,228, 28859,360
543, 35,0,0.0965, 4623,243, 23265,348
555, 35,0.975,0.0965, 4243,229, 27099,302
567, 35,2.25,0.0965, 4112,164, 31289,220
520, 38.5,-2.25,0.0965, 2779,118, 15428,141
532, 38.5,-0.975,0.0965, 3194,132, 17611,213
544, 38.5,0,0.0965, 3298,115, 15867,189
556, 38.5,0.975,0.0965, 3120,137, 16791,218
568, 38.5,2.25,0.0965, 2863,115, 15110,149
521, 41.5,-2.25,0.0965, 2661,95, 13241,135
533, 41.5,-0.975,0.0965, 3052,113, 16279,196
545, 41.5,0,0.0965, 3487,115, 15338,192
557, 41.5,0.975,0.0965, 3116,111, 15608,190
569, 41.5,2.25,0.0965, 2802,88, 13002,128
522, 44,-2.25,0.0965, 1766,63, 8200,83
534, 44,-0.975,0.0965, 2151,75, 10388,119
546, 44,0,0.0965, 2283,66, 9305,94
558, 44,0.975,0.0965, 2185,62, 9760,110
570, 44,2.25,0.0965, 1811,57, 8012,73
523, 46.5,-2.25,0.0965, 2446,67, 11240,83
535, 46.5,-0.975,0.0965, 3075,83, 14309,111
547, 46.5,0,0.0965, 3512,91, 13128,135
559, 46.5,0.975,0.0965, 3240,80, 13623,120
571, 46.5,2.25,0.0965, 2641,74, 11228,88
524, 52,-2.25,0.0965, 6138,118, 24697,169
536, 52,-0.975,0.0965, 7980,148, 31846,239
548, 52,0,0.0965, 8778,165, 29093,241
560, 52,0.975,0.0965, 8020,165, 30438,261
572, 52,2.25,0.0965, 6307,137, 24823,183
525, 59.5,-2.25,0.0965, 4762,67, 15788,87
537, 59.5,-0.975,0.0965, 6237,90, 21133,124
549, 59.5,0,0.0965, 6881,103, 19565,165
561, 59.5,0.975,0.0965, 6450,98, 19884,129
573, 59.5,2.25,0.0965, 4698,69, 15496,99
526, 281.5,-2.25,0.0965, 28826,121, 63961,189
538, 281.5,-0.975,0.0965, 47618,154, 97537,285
550, 281.5,0,0.0965, 51626,203, 98870,299
562, 281.5,0.975,0.0965, 47737,166, 95076,302
574, 281.5,2.25,0.0965, 27818,135, 62687,199
601, 14.5,-2.25,0.1035, 17854,106, 36819,168
613, 14.5,-0.975,0.1035, 16137,337, 58537,538
625, 14.5,0,0.1035, 18025,441, 68699,596
637, 14.5,0.975,0.1035, 16557,351, 61774,497
649, 14.5,2.25,0.1035, 17679,148, 39188,211
602, 31,-2.25,0.1035, 5798,157, 43725,237
614, 31,-0.975,0.1035, 6009,259, 64537,404
626, 31,0,0.1035, 6440,246, 46701,394
638, 31,0.975,0.1035, 6164,251, 63217,432
650, 31,2.25,0.1035, 6111,188, 47785,273
603, 35,-2.25,0.1035, 5407,148, 41670,225
615, 35,-0.975,0.1035, 5990,250, 39771,370
627, 35,0,0.1035, 6400,242, 30959,370
639, 35,0.975,0.1035, 6066,263, 37034,367
651, 35,2.25,0.1035, 5478,186, 39703,230
604, 38.5,-2.25,0.1035, 3826,110, 20214,164
616, 38.5,-0.975,0.1035, 4460,162, 23934,251
628, 38.5,0,0.1035, 4864,148, 21120,222
640, 38.5,0.975,0.1035, 4436,158, 22901,257
652, 38.5,2.25,0.1035, 3872,117, 19395,160
