i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
273, 59.5,-2.25,0.075, 34,0, 610,18
285, 59.5,-0.975,0.075, 32,4, 505,32
297, 59.5,0,0.075, 26,1, 556,26
309, 59.5,0.975,0.075, 22,0, 516,28
321, 59.5,2.25,0.075, 22,1, 623,22
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 139,0, 3156,47
286, 281.5,-0.975,0.075, 181,2, 3138,61
298, 281.5,0,0.075, 235,3, 3371,57
310, 281.5,0.975,0.075, 178,1, 3094,63
322, 281.5,2.25,0.075, 109,2, 3106,61
334, 281.5,3.6,0.075, 0,0, 0,0
349, 14.5,-2.25,0.0835, 57,0, 2415,24
361, 14.5,-0.975,0.0835, 38,2, 2676,63
373, 14.5,0,0.0835, 59,3, 2515,70
385, 14.5,0.975,0.0835, 44,2, 2610,57
397, 14.5,2.25,0.0835, 48,0, 2413,28
409, 14.5,3.6,0.0835, 0,0, 0,0
350, 31,-2.25,0.0835, 14,1, 1106,32
362, 31,-0.975,0.0835, 16,2, 981,43
374, 31,0,0.0835, 16,0, 728,35
386, 31,0.975,0.0835, 26,3, 951,43
398, 31,2.25,0.0835, 20,1, 1084,29
410, 31,3.6,0.0835, 0,0, 0,0
351, 35,-2.25,0.0835, 27,1, 778,29
363, 35,-0.975,0.0835, 19,1, 647,39
375, 35,0,0.0835, 17,2, 535,38
387, 35,0.975,0.0835, 23,3, 558,41
399, 35,2.25,0.0835, 24,1, 742,27
411, 35,3.6,0.0835, 0,0, 0,0
352, 38.5,-2.25,0.0835, 10,0, 486,34
364, 38.5,-0.975,0.0835, 22,1, 370,20
376, 38.5,0,0.0835, 15,0, 368,28
388, 38.5,0.975,0.0835, 18,3, 406,33
400, 38.5,2.25,0.0835, 9,0, 484,25
412, 38.5,3.6,0.0835, 0,0, 0,0
353, 41.5,-2.25,0.0835, 17,2, 448,29
365, 41.5,-0.975,0.0835, 12,0, 376,29
377, 41.5,0,0.0835, 17,0, 345,27
389, 41.5,0.975,0.0835, 15,0, 412,29
401, 41.5,2.25,0.0835, 10,1, 476,20
413, 41.5,3.6,0.0835, 0,0, 0,0
354, 44,-2.25,0.0835, 8,0, 350,25
366, 44,-0.975,0.0835, 13,1, 272,16
378, 44,0,0.0835, 13,0, 271,15
390, 44,0.975,0.0835, 7,0, 258,16
402, 44,2.25,0.0835, 9,1, 300,12
414, 44,3.6,0.0835, 0,0, 0,0
355, 46.5,-2.25,0.0835, 14,0, 442,22
367, 46.5,-0.975,0.0835, 22,2, 358,32
379, 46.5,0,0.0835, 19,1, 394,13
391, 46.5,0.975,0.0835, 16,0, 392,23
403, 46.5,2.25,0.0835, 11,0, 450,16
415, 46.5,3.6,0.0835, 0,0, 0,0
356, 52,-2.25,0.0835, 33,0, 1006,37
368, 52,-0.975,0.0835, 35,1, 876,44
380, 52,0,0.0835, 46,3, 898,38
392, 52,0.975,0.0835, 33,0, 825,49
404, 52,2.25,0.0835, 35,4, 1006,49
416, 52,3.6,0.0835, 0,0, 0,0
357, 59.5,-2.25,0.0835, 25,0, 696,16
369, 59.5,-0.975,0.0835, 33,1, 579,24
381, 59.5,0,0.0835, 33,0, 601,28
393, 59.5,0.975,0.0835, 36,2, 562,20
405, 59.5,2.25,0.0835, 29,0, 591,22
417, 59.5,3.6,0.0835, 0,0, 0,0
358, 281.5,-2.25,0.0835, 118,1, 3144,34
370, 281.5,-0.975,0.0835, 217,4, 3454,54
382, 281.5,0,0.0835, 264,0, 3557,37
394, 281.5,0.975,0.0835, 206,2, 3207,43
406, 281.5,2.25,0.0835, 147,0, 3072,40
418, 281.5,3.6,0.0835, 0,0, 0,0
433, 14.5,-2.25,0.09, 51,1, 2460,32
445, 14.5,-0.975,0.09, 65,5, 2690,51
457, 14.5,0,0.09, 71,3, 2431,69
469, 14.5,0.975,0.09, 46,5, 2548,70
481, 14.5,2.25,0.09, 46,1, 2288,15
493, 14.5,3.6,0.09, 0,0, 0,0
