i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
546, 44,0,0.0965, 0,0, 770,3
558, 44,0.975,0.0965, 0,0, 561,4
570, 44,2.25,0.0965, 0,0, 343,6
582, 44,3.6,0.0965, 0,0, 0,0
523, 46.5,-2.25,0.0965, 0,0, 556,5
535, 46.5,-0.975,0.0965, 0,0, 795,5
547, 46.5,0,0.0965, 0,0, 1106,6
559, 46.5,0.975,0.0965, 0,0, 816,6
571, 46.5,2.25,0.0965, 0,0, 507,8
583, 46.5,3.6,0.0965, 0,0, 0,0
524, 52,-2.25,0.0965, 0,0, 1377,16
536, 52,-0.975,0.0965, 1,0, 2252,9
548, 52,0,0.0965, 0,0, 3086,10
560, 52,0.975,0.0965, 0,0, 2232,12
572, 52,2.25,0.0965, 1,0, 1310,9
584, 52,3.6,0.0965, 0,0, 0,0
525, 59.5,-2.25,0.0965, 0,0, 1203,14
537, 59.5,-0.975,0.0965, 0,0, 2074,4
549, 59.5,0,0.0965, 0,0, 2759,10
561, 59.5,0.975,0.0965, 0,0, 2080,6
573, 59.5,2.25,0.0965, 0,0, 1121,11
585, 59.5,3.6,0.0965, 0,0, 0,0
526, 281.5,-2.25,0.0965, 12,0, 41833,60
538, 281.5,-0.975,0.0965, 12,0, 107200,44
550, 281.5,0,0.0965, 14,0, 124037,43
562, 281.5,0.975,0.0965, 11,0, 106689,66
574, 281.5,2.25,0.0965, 3,0, 41918,42
586, 281.5,3.6,0.0965, 0,0, 0,0
601, 14.5,-2.25,0.1035, 0,0, 3254,13
613, 14.5,-0.975,0.1035, 0,0, 4339,26
625, 14.5,0,0.1035, 1,0, 5645,25
637, 14.5,0.975,0.1035, 0,0, 4171,23
649, 14.5,2.25,0.1035, 1,0, 2999,14
661, 14.5,3.6,0.1035, 0,0, 0,0
602, 31,-2.25,0.1035, 0,0, 1095,10
614, 31,-0.975,0.1035, 0,0, 1733,16
626, 31,0,0.1035, 0,0, 2154,18
638, 31,0.975,0.1035, 0,0, 1623,11
650, 31,2.25,0.1035, 0,0, 1121,19
662, 31,3.6,0.1035, 0,0, 0,0
603, 35,-2.25,0.1035, 0,0, 1004,21
615, 35,-0.975,0.1035, 0,0, 1594,20
627, 35,0,0.1035, 0,0, 2121,14
639, 35,0.975,0.1035, 0,0, 1461,10
651, 35,2.25,0.1035, 0,0, 1001,13
663, 35,3.6,0.1035, 0,0, 0,0
604, 38.5,-2.25,0.1035, 0,0, 779,8
616, 38.5,-0.975,0.1035, 0,0, 1256,13
628, 38.5,0,0.1035, 0,0, 1617,11
640, 38.5,0.975,0.1035, 0,0, 1179,8
652, 38.5,2.25,0.1035, 0,0, 720,11
664, 38.5,3.6,0.1035, 0,0, 0,0
605, 41.5,-2.25,0.1035, 0,0, 750,8
617, 41.5,-0.975,0.1035, 0,0, 1159,12
629, 41.5,0,0.1035, 0,0, 1569,6
641, 41.5,0.975,0.1035, 0,0, 1123,4
653, 41.5,2.25,0.1035, 0,0, 711,11
665, 41.5,3.6,0.1035, 0,0, 0,0
606, 44,-2.25,0.1035, 0,0, 519,4
618, 44,-0.975,0.1035, 0,0, 848,1
630, 44,0,0.1035, 1,0, 1079,6
642, 44,0.975,0.1035, 0,0, 758,5
654, 44,2.25,0.1035, 0,0, 464,4
666, 44,3.6,0.1035, 0,0, 0,0
