i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
482, 31,2.25,0.09, 139,2, 1564,58
494, 31,3.6,0.09, 0,0, 0,0
435, 35,-2.25,0.09, 135,5, 1441,68
447, 35,-0.975,0.09, 143,10, 1385,100
459, 35,0,0.09, 177,8, 1217,97
471, 35,0.975,0.09, 125,10, 1350,104
483, 35,2.25,0.09, 94,3, 1327,78
495, 35,3.6,0.09, 0,0, 0,0
436, 38.5,-2.25,0.09, 122,6, 1054,62
448, 38.5,-0.975,0.09, 106,7, 955,80
460, 38.5,0,0.09, 123,5, 959,78
472, 38.5,0.975,0.09, 99,3, 929,102
484, 38.5,2.25,0.09, 82,1, 956,53
496, 38.5,3.6,0.09, 0,0, 0,0
437, 41.5,-2.25,0.09, 86,2, 1027,62
449, 41.5,-0.975,0.09, 102,9, 1048,93
461, 41.5,0,0.09, 118,3, 961,95
473, 41.5,0.975,0.09, 109,5, 1074,92
485, 41.5,2.25,0.09, 76,3, 1018,69
497, 41.5,3.6,0.09, 0,0, 0,0
438, 44,-2.25,0.09, 57,0, 685,43
450, 44,-0.975,0.09, 84,1, 735,49
462, 44,0,0.09, 65,1, 683,53
474, 44,0.975,0.09, 56,0, 723,62
486, 44,2.25,0.09, 66,4, 675,50
498, 44,3.6,0.09, 0,0, 0,0
439, 46.5,-2.25,0.09, 74,2, 1096,55
451, 46.5,-0.975,0.09, 109,2, 1097,93
463, 46.5,0,0.09, 99,2, 1005,98
475, 46.5,0.975,0.09, 107,4, 1040,71
487, 46.5,2.25,0.09, 86,2, 1067,61
499, 46.5,3.6,0.09, 0,0, 0,0
440, 52,-2.25,0.09, 199,6, 2527,106
452, 52,-0.975,0.09, 290,8, 2392,164
464, 52,0,0.09, 327,7, 2257,185
476, 52,0.975,0.09, 272,5, 2333,181
488, 52,2.25,0.09, 206,5, 2471,116
500, 52,3.6,0.09, 0,0, 0,0
441, 59.5,-2.25,0.09, 142,7, 1518,65
453, 59.5,-0.975,0.09, 200,3, 1552,87
465, 59.5,0,0.09, 265,3, 1532,81
477, 59.5,0.975,0.09, 232,2, 1623,97
489, 59.5,2.25,0.09, 150,3, 1528,55
501, 59.5,3.6,0.09, 0,0, 0,0
442, 281.5,-2.25,0.09, 1124,7, 6958,119
454, 281.5,-0.975,0.09, 1837,8, 8942,164
466, 281.5,0,0.09, 1956,7, 8977,145
478, 281.5,0.975,0.09, 1865,9, 9045,167
490, 281.5,2.25,0.09, 1094,5, 6790,108
502, 281.5,3.6,0.09, 0,0, 0,0
517, 14.5,-2.25,0.0965, 530,3, 3497,50
529, 14.5,-0.975,0.0965, 505,9, 4186,166
541, 14.5,0,0.0965, 551,26, 4338,196
553, 14.5,0.975,0.0965, 482,13, 4331,163
565, 14.5,2.25,0.0965, 525,6, 3371,70
577, 14.5,3.6,0.0965, 0,0, 0,0
518, 31,-2.25,0.0965, 215,9, 1998,77
530, 31,-0.975,0.0965, 209,14, 2314,107
542, 31,0,0.0965, 265,8, 1976,127
554, 31,0.975,0.0965, 229,14, 2364,123
566, 31,2.25,0.0965, 201,6, 1982,57
578, 31,3.6,0.0965, 0,0, 0,0
519, 35,-2.25,0.0965, 194,4, 1820,64
531, 35,-0.975,0.0965, 218,8, 1999,123
543, 35,0,0.0965, 282,11, 1770,139
555, 35,0.975,0.0965, 210,6, 1956,155
567, 35,2.25,0.0965, 202,8, 1868,82
579, 35,3.6,0.0965, 0,0, 0,0
520, 38.5,-2.25,0.0965, 140,5, 1317,72
532, 38.5,-0.975,0.0965, 186,10, 1327,103
544, 38.5,0,0.0965, 216,2, 1297,91
556, 38.5,0.975,0.0965, 163,8, 1321,100
568, 38.5,2.25,0.0965, 166,8, 1339,72
580, 38.5,3.6,0.0965, 0,0, 0,0
521, 41.5,-2.25,0.0965, 140,7, 1355,71
533, 41.5,-0.975,0.0965, 173,6, 1375,105
545, 41.5,0,0.0965, 190,7, 1365,103
557, 41.5,0.975,0.0965, 169,4, 1458,125
569, 41.5,2.25,0.0965, 145,3, 1365,70
581, 41.5,3.6,0.0965, 0,0, 0,0
522, 44,-2.25,0.0965, 105,3, 932,45
534, 44,-0.975,0.0965, 105,6, 924,77
546, 44,0,0.0965, 118,2, 903,71
558, 44,0.975,0.0965, 97,2, 946,76
570, 44,2.25,0.0965, 94,4, 910,46
582, 44,3.6,0.0965, 0,0, 0,0
523, 46.5,-2.25,0.0965, 156,4, 1367,58
535, 46.5,-0.975,0.0965, 161,3, 1402,87
547, 46.5,0,0.0965, 194,4, 1337,100
559, 46.5,0.975,0.0965, 148,3, 1482,98
571, 46.5,2.25,0.0965, 151,3, 1383,63
583, 46.5,3.6,0.0965, 0,0, 0,0
524, 52,-2.25,0.0965, 336,5, 3288,136
536, 52,-0.975,0.0965, 387,2, 3306,156
548, 52,0,0.0965, 457,10, 3038,169
560, 52,0.975,0.0965, 404,6, 3328,187
572, 52,2.25,0.0965, 320,4, 3305,158
584, 52,3.6,0.0965, 0,0, 0,0
525, 59.5,-2.25,0.0965, 210,4, 2076,59
537, 59.5,-0.975,0.0965, 326,7, 2231,114
549, 59.5,0,0.0965, 322,2, 2093,93
561, 59.5,0.975,0.0965, 338,5, 2231,102
573, 59.5,2.25,0.0965, 241,5, 2043,66
585, 59.5,3.6,0.0965, 0,0, 0,0
526, 281.5,-2.25,0.0965, 1382,13, 8998,130
538, 281.5,-0.975,0.0965, 2452,11, 11943,174
550, 281.5,0,0.0965, 2546,4, 11751,159
562, 281.5,0.975,0.0965, 2513,6, 11989,164
574, 281.5,2.25,0.0965, 1410,10, 8818,125
586, 281.5,3.6,0.0965, 0,0, 0,0
601, 14.5,-2.25,0.1035, 761,5, 4223,47
613, 14.5,-0.975,0.1035, 698,8, 5034,139
625, 14.5,0,0.1035, 766,20, 4944,212
637, 14.5,0.975,0.1035, 666,14, 5017,146
649, 14.5,2.25,0.1035, 703,10, 4125,59
661, 14.5,3.6,0.1035, 0,0, 0,0
602, 31,-2.25,0.1035, 270,10, 2153,71
614, 31,-0.975,0.1035, 328,10, 2648,136
626, 31,0,0.1035, 325,9, 2212,119
638, 31,0.975,0.1035, 334,15, 2625,149
650, 31,2.25,0.1035, 265,12, 2152,77
662, 31,3.6,0.1035, 0,0, 0,0
603, 35,-2.25,0.1035, 280,11, 2155,94
615, 35,-0.975,0.1035, 308,12, 2245,122
627, 35,0,0.1035, 360,7, 2095,132
639, 35,0.975,0.1035, 337,10, 2259,137
651, 35,2.25,0.1035, 253,2, 2111,80
663, 35,3.6,0.1035, 0,0, 0,0
604, 38.5,-2.25,0.1035, 212,8, 1479,69
616, 38.5,-0.975,0.1035, 233,11, 1546,105
628, 38.5,0,0.1035, 264,8, 1514,103
640, 38.5,0.975,0.1035, 227,5, 1637,101
652, 38.5,2.25,0.1035, 159,2, 1475,63
664, 38.5,3.6,0.1035, 0,0, 0,0
605, 41.5,-2.25,0.1035, 173,3, 1550,94
617, 41.5,-0.975,0.1035, 234,5, 1543,107
629, 41.5,0,0.1035, 267,9, 1577,95
641, 41.5,0.975,0.1035, 249,5, 1669,95
653, 41.5,2.25,0.1035, 192,6, 1555,66
665, 41.5,3.6,0.1035, 0,0, 0,0
606, 44,-2.25,0.1035, 123,4, 1059,44
618, 44,-0.975,0.1035, 157,2, 1171,53
630, 44,0,0.1035, 195,5, 1130,65
642, 44,0.975,0.1035, 173,2, 1193,65
654, 44,2.25,0.1035, 122,2, 993,33
666, 44,3.6,0.1035, 0,0, 0,0
607, 46.5,-2.25,0.1035, 166,2, 1583,70
619, 46.5,-0.975,0.1035, 237,4, 1619,94
631, 46.5,0,0.1035, 231,2, 1579,86
643, 46.5,0.975,0.1035, 231,3, 1720,101
655, 46.5,2.25,0.1035, 164,7, 1562,61
667, 46.5,3.6,0.1035, 0,0, 0,0
608, 52,-2.25,0.1035, 416,9, 3613,119
620, 52,-0.975,0.1035, 545,7, 3831,171
632, 52,0,0.1035, 640,16, 3602,153
644, 52,0.975,0.1035, 528,7, 3902,175
656, 52,2.25,0.1035, 437,7, 3734,112
668, 52,3.6,0.1035, 0,0, 0,0
609, 59.5,-2.25,0.1035, 262,4, 2355,55
621, 59.5,-0.975,0.1035, 449,7, 2600,100
633, 59.5,0,0.1035, 464,5, 2548,86
645, 59.5,0.975,0.1035, 486,3, 2701,79
657, 59.5,2.25,0.1035, 285,3, 2275,64
669, 59.5,3.6,0.1035, 0,0, 0,0
610, 281.5,-2.25,0.1035, 1657,3, 9765,98
622, 281.5,-0.975,0.1035, 2906,14, 13590,153
634, 281.5,0,0.1035, 2835,6, 12668,116
646, 281.5,0.975,0.1035, 2791,12, 13487,137
658, 281.5,2.25,0.1035, 1686,8, 9601,89
670, 281.5,3.6,0.1035, 0,0, 0,0
685, 14.5,-2.25,0.11, 796,7, 4183,36
697, 14.5,-0.975,0.11, 830,19, 4800,146
709, 14.5,0,0.11, 846,17, 4805,154
721, 14.5,0.975,0.11, 746,16, 4893,110
733, 14.5,2.25,0.11, 780,3, 4185,51
745, 14.5,3.6,0.11, 0,0, 0,0
686, 31,-2.25,0.11, 283,7, 1993,49
698, 31,-0.975,0.11, 349,10, 2479,121
710, 31,0,0.11, 375,6, 2288,97
722, 31,0.975,0.11, 377,16, 2510,127
734, 31,2.25,0.11, 291,14, 1992,67
746, 31,3.6,0.11, 0,0, 0,0
687, 35,-2.25,0.11, 279,6, 2009,74
699, 35,-0.975,0.11, 400,11, 2242,111
711, 35,0,0.11, 398,7, 2100,102
723, 35,0.975,0.11, 365,8, 2245,105
735, 35,2.25,0.11, 297,19, 1942,66
747, 35,3.6,0.11, 0,0, 0,0
688, 38.5,-2.25,0.11, 193,5, 1413,66
700, 38.5,-0.975,0.11, 298,6, 1502,81
712, 38.5,0,0.11, 317,9, 1565,78
724, 38.5,0.975,0.11, 277,2, 1613,77
736, 38.5,2.25,0.11, 205,4, 1429,59
748, 38.5,3.6,0.11, 0,0, 0,0
689, 41.5,-2.25,0.11, 201,0, 1425,61
701, 41.5,-0.975,0.11, 262,3, 1602,79
713, 41.5,0,0.11, 306,6, 1627,71
725, 41.5,0.975,0.11, 257,4, 1624,71
737, 41.5,2.25,0.11, 203,4, 1481,71
749, 41.5,3.6,0.11, 0,0, 0,0
690, 44,-2.25,0.11, 125,2, 996,31
702, 44,-0.975,0.11, 191,4, 1176,54
714, 44,0,0.11, 189,1, 1094,39
726, 44,0.975,0.11, 143,2, 1062,54
738, 44,2.25,0.11, 133,3, 993,48
750, 44,3.6,0.11, 0,0, 0,0
691, 46.5,-2.25,0.11, 182,3, 1480,61
703, 46.5,-0.975,0.11, 260,2, 1600,65
715, 46.5,0,0.11, 253,3, 1510,57
727, 46.5,0.975,0.11, 253,4, 1662,79
739, 46.5,2.25,0.11, 188,5, 1433,48
751, 46.5,3.6,0.11, 0,0, 0,0
692, 52,-2.25,0.11, 421,8, 3442,107
704, 52,-0.975,0.11, 595,3, 3741,124
716, 52,0,0.11, 681,8, 3475,113
728, 52,0.975,0.11, 653,11, 3809,115
740, 52,2.25,0.11, 461,5, 3430,103
752, 52,3.6,0.11, 0,0, 0,0
693, 59.5,-2.25,0.11, 325,5, 2091,48
705, 59.5,-0.975,0.11, 478,4, 2647,64
717, 59.5,0,0.11, 527,1, 2554,50
729, 59.5,0.975,0.11, 465,2, 2564,58
741, 59.5,2.25,0.11, 338,4, 2210,45
753, 59.5,3.6,0.11, 0,0, 0,0
694, 281.5,-2.25,0.11, 1476,10, 8539,62
706, 281.5,-0.975,0.11, 2572,3, 12316,88
718, 281.5,0,0.11, 2494,3, 11375,70
730, 281.5,0.975,0.11, 2624,2, 12362,101
742, 281.5,2.25,0.11, 1528,2, 8559,62
754, 281.5,3.6,0.11, 0,0, 0,0
769, 14.5,-2.25,0.1165, 1195,3, 5592,33
781, 14.5,-0.975,0.1165, 1260,16, 6374,123
793, 14.5,0,0.1165, 1308,18, 6428,187
805, 14.5,0.975,0.1165, 1227,15, 6310,144
817, 14.5,2.25,0.1165, 1154,5, 5714,52
829, 14.5,3.6,0.1165, 0,0, 0,0
770, 31,-2.25,0.1165, 456,7, 2547,71
