i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
319, 46.5,2.25,0.075, 0,0, 115,2
331, 46.5,3.6,0.075, 0,0, 0,0
272, 52,-2.25,0.075, 0,0, 301,3
284, 52,-0.975,0.075, 0,0, 480,7
296, 52,0,0.075, 0,0, 744,4
308, 52,0.975,0.075, 0,0, 503,8
320, 52,2.25,0.075, 0,0, 271,7
332, 52,3.6,0.075, 0,0, 0,0
273, 59.5,-2.25,0.075, 0,0, 226,2
285, 59.5,-0.975,0.075, 0,0, 398,2
297, 59.5,0,0.075, 1,0, 680,1
309, 59.5,0.975,0.075, 0,0, 431,3
321, 59.5,2.25,0.075, 0,0, 238,1
333, 59.5,3.6,0.075, 0,0, 0,0
274, 281.5,-2.25,0.075, 4,0, 15362,41
286, 281.5,-0.975,0.075, 3,0, 38165,18
298, 281.5,0,0.075, 5,0, 55179,22
310, 281.5,0.975,0.075, 2,0, 37806,32
322, 281.5,2.25,0.075, 2,0, 15096,28
334, 281.5,3.6,0.075, 0,0, 0,0
349, 14.5,-2.25,0.0835, 0,0, 599,5
361, 14.5,-0.975,0.0835, 0,0, 861,10
373, 14.5,0,0.0835, 1,0, 1269,9
385, 14.5,0.975,0.0835, 0,0, 814,8
397, 14.5,2.25,0.0835, 0,0, 595,4
409, 14.5,3.6,0.0835, 0,0, 0,0
350, 31,-2.25,0.0835, 0,0, 211,8
362, 31,-0.975,0.0835, 0,0, 284,1
374, 31,0,0.0835, 0,0, 437,2
386, 31,0.975,0.0835, 0,0, 287,2
398, 31,2.25,0.0835, 0,0, 204,4
410, 31,3.6,0.0835, 0,0, 0,0
351, 35,-2.25,0.0835, 0,0, 190,6
363, 35,-0.975,0.0835, 0,0, 309,2
375, 35,0,0.0835, 0,0, 442,1
387, 35,0.975,0.0835, 0,0, 268,3
399, 35,2.25,0.0835, 0,0, 185,6
411, 35,3.6,0.0835, 0,0, 0,0
352, 38.5,-2.25,0.0835, 0,0, 134,3
364, 38.5,-0.975,0.0835, 0,0, 208,5
376, 38.5,0,0.0835, 0,0, 337,6
388, 38.5,0.975,0.0835, 0,0, 203,2
400, 38.5,2.25,0.0835, 0,0, 128,2
412, 38.5,3.6,0.0835, 0,0, 0,0
353, 41.5,-2.25,0.0835, 0,0, 128,6
365, 41.5,-0.975,0.0835, 0,0, 201,1
377, 41.5,0,0.0835, 0,0, 304,2
389, 41.5,0.975,0.0835, 0,0, 227,1
401, 41.5,2.25,0.0835, 0,0, 113,6
413, 41.5,3.6,0.0835, 0,0, 0,0
354, 44,-2.25,0.0835, 0,0, 75,1
366, 44,-0.975,0.0835, 0,0, 144,2
378, 44,0,0.0835, 0,0, 210,2
390, 44,0.975,0.0835, 0,0, 121,0
402, 44,2.25,0.0835, 0,0, 77,2
414, 44,3.6,0.0835, 0,0, 0,0
355, 46.5,-2.25,0.0835, 0,0, 139,1
367, 46.5,-0.975,0.0835, 0,0, 203,3
379, 46.5,0,0.0835, 0,0, 290,3
391, 46.5,0.975,0.0835, 0,0, 193,0
403, 46.5,2.25,0.0835, 0,0, 130,2
415, 46.5,3.6,0.0835, 0,0, 0,0
356, 52,-2.25,0.0835, 0,0, 323,8
368, 52,-0.975,0.0835, 0,0, 538,5
380, 52,0,0.0835, 0,0, 880,2
392, 52,0.975,0.0835, 0,0, 581,7
404, 52,2.25,0.0835, 0,0, 327,9
416, 52,3.6,0.0835, 0,0, 0,0
357, 59.5,-2.25,0.0835, 0,0, 289,2
369, 59.5,-0.975,0.0835, 0,0, 509,2
381, 59.5,0,0.0835, 0,0, 748,6
393, 59.5,0.975,0.0835, 0,0, 494,2
405, 59.5,2.25,0.0835, 0,0, 229,3
417, 59.5,3.6,0.0835, 0,0, 0,0
358, 281.5,-2.25,0.0835, 0,0, 13211,17
370, 281.5,-0.975,0.0835, 6,0, 35621,21
382, 281.5,0,0.0835, 5,0, 48731,21
394, 281.5,0.975,0.0835, 4,0, 35386,24
406, 281.5,2.25,0.0835, 2,0, 13225,16
418, 281.5,3.6,0.0835, 0,0, 0,0
433, 14.5,-2.25,0.09, 0,0, 731,2
445, 14.5,-0.975,0.09, 0,0, 1095,16
457, 14.5,0,0.09, 0,0, 1515,4
469, 14.5,0.975,0.09, 0,0, 952,6
481, 14.5,2.25,0.09, 0,0, 701,7
493, 14.5,3.6,0.09, 0,0, 0,0
434, 31,-2.25,0.09, 0,0, 229,8
446, 31,-0.975,0.09, 0,0, 369,3
458, 31,0,0.09, 0,0, 554,2
470, 31,0.975,0.09, 0,0, 367,3
482, 31,2.25,0.09, 0,0, 217,8
494, 31,3.6,0.09, 0,0, 0,0
435, 35,-2.25,0.09, 0,0, 227,3
447, 35,-0.975,0.09, 0,0, 340,3
459, 35,0,0.09, 0,0, 534,6
471, 35,0.975,0.09, 0,0, 375,7
483, 35,2.25,0.09, 0,0, 226,8
495, 35,3.6,0.09, 0,0, 0,0
436, 38.5,-2.25,0.09, 0,0, 174,3
448, 38.5,-0.975,0.09, 0,0, 238,4
460, 38.5,0,0.09, 0,0, 363,4
472, 38.5,0.975,0.09, 0,0, 262,3
484, 38.5,2.25,0.09, 0,0, 167,1
496, 38.5,3.6,0.09, 0,0, 0,0
437, 41.5,-2.25,0.09, 0,0, 155,4
449, 41.5,-0.975,0.09, 0,0, 268,6
461, 41.5,0,0.09, 0,0, 357,2
473, 41.5,0.975,0.09, 0,0, 250,4
485, 41.5,2.25,0.09, 0,0, 136,1
497, 41.5,3.6,0.09, 0,0, 0,0
438, 44,-2.25,0.09, 0,0, 103,2
450, 44,-0.975,0.09, 0,0, 189,1
462, 44,0,0.09, 0,0, 276,3
474, 44,0.975,0.09, 0,0, 177,4
486, 44,2.25,0.09, 0,0, 100,2
498, 44,3.6,0.09, 0,0, 0,0
439, 46.5,-2.25,0.09, 0,0, 139,3
451, 46.5,-0.975,0.09, 0,0, 254,3
463, 46.5,0,0.09, 0,0, 372,1
475, 46.5,0.975,0.09, 0,0, 258,0
487, 46.5,2.25,0.09, 0,0, 142,2
499, 46.5,3.6,0.09, 0,0, 0,0
440, 52,-2.25,0.09, 0,0, 378,3
452, 52,-0.975,0.09, 0,0, 732,6
464, 52,0,0.09, 0,0, 1058,5
476, 52,0.975,0.09, 1,0, 708,2
488, 52,2.25,0.09, 1,0, 394,9
500, 52,3.6,0.09, 0,0, 0,0
441, 59.5,-2.25,0.09, 0,0, 341,3
453, 59.5,-0.975,0.09, 0,0, 659,2
465, 59.5,0,0.09, 0,0, 950,3
477, 59.5,0.975,0.09, 0,0, 660,1
489, 59.5,2.25,0.09, 0,0, 326,7
501, 59.5,3.6,0.09, 0,0, 0,0
442, 281.5,-2.25,0.09, 1,0, 12704,26
454, 281.5,-0.975,0.09, 3,0, 35288,17
466, 281.5,0,0.09, 4,0, 46306,23
478, 281.5,0.975,0.09, 1,0, 35766,18
490, 281.5,2.25,0.09, 1,0, 12513,12
502, 281.5,3.6,0.09, 0,0, 0,0
517, 14.5,-2.25,0.0965, 0,0, 1181,6
529, 14.5,-0.975,0.0965, 0,0, 1614,9
541, 14.5,0,0.0965, 2,0, 2451,15
553, 14.5,0.975,0.0965, 0,0, 1711,12
565, 14.5,2.25,0.0965, 0,0, 1128,5
577, 14.5,3.6,0.0965, 0,0, 0,0
518, 31,-2.25,0.0965, 0,0, 397,8
530, 31,-0.975,0.0965, 0,0, 637,6
542, 31,0,0.0965, 0,0, 896,5
554, 31,0.975,0.0965, 0,0, 593,9
566, 31,2.25,0.0965, 0,0, 410,10
578, 31,3.6,0.0965, 0,0, 0,0
519, 35,-2.25,0.0965, 0,0, 391,5
531, 35,-0.975,0.0965, 0,0, 577,5
543, 35,0,0.0965, 0,0, 839,13
555, 35,0.975,0.0965, 0,0, 561,4
567, 35,2.25,0.0965, 0,0, 344,5
579, 35,3.6,0.0965, 0,0, 0,0
520, 38.5,-2.25,0.0965, 1,0, 232,5
532, 38.5,-0.975,0.0965, 0,0, 436,3
544, 38.5,0,0.0965, 0,0, 669,7
556, 38.5,0.975,0.0965, 0,0, 442,4
568, 38.5,2.25,0.0965, 0,0, 222,2
580, 38.5,3.6,0.0965, 0,0, 0,0
521, 41.5,-2.25,0.0965, 0,0, 267,5
533, 41.5,-0.975,0.0965, 0,0, 410,2
545, 41.5,0,0.0965, 0,0, 598,5
557, 41.5,0.975,0.0965, 0,0, 445,4
569, 41.5,2.25,0.0965, 0,0, 255,3
581, 41.5,3.6,0.0965, 0,0, 0,0
522, 44,-2.25,0.0965, 0,0, 172,3
534, 44,-0.975,0.0965, 0,0, 283,1
546, 44,0,0.0965, 0,0, 432,1
558, 44,0.975,0.0965, 0,0, 302,3
570, 44,2.25,0.0965, 0,0, 156,0
582, 44,3.6,0.0965, 0,0, 0,0
523, 46.5,-2.25,0.0965, 0,0, 243,1
535, 46.5,-0.975,0.0965, 0,0, 430,3
547, 46.5,0,0.0965, 0,0, 655,3
559, 46.5,0.975,0.0965, 0,0, 435,1
571, 46.5,2.25,0.0965, 0,0, 228,1
583, 46.5,3.6,0.0965, 0,0, 0,0
524, 52,-2.25,0.0965, 0,0, 599,5
536, 52,-0.975,0.0965, 0,0, 1135,4
548, 52,0,0.0965, 0,0, 1689,6
560, 52,0.975,0.0965, 0,0, 1165,7
572, 52,2.25,0.0965, 0,0, 605,3
584, 52,3.6,0.0965, 0,0, 0,0
