i_bin,x,y,z, w_jets_bin,w_tau_jets_bin, q_jets_bin,q_tau_jets_bin
398, 31,2.25,0.0835, 13,2, 272,17
410, 31,3.6,0.0835, 0,0, 0,0
351, 35,-2.25,0.0835, 14,0, 274,7
363, 35,-0.975,0.0835, 17,2, 225,19
375, 35,0,0.0835, 13,0, 258,5
387, 35,0.975,0.0835, 12,1, 203,8
399, 35,2.25,0.0835, 14,0, 294,8
411, 35,3.6,0.0835, 0,0, 0,0
352, 38.5,-2.25,0.0835, 7,0, 236,11
364, 38.5,-0.975,0.0835, 6,1, 203,13
376, 38.5,0,0.0835, 18,0, 269,11
388, 38.5,0.975,0.0835, 7,0, 222,11
400, 38.5,2.25,0.0835, 8,0, 254,8
412, 38.5,3.6,0.0835, 0,0, 0,0
353, 41.5,-2.25,0.0835, 9,0, 270,8
365, 41.5,-0.975,0.0835, 15,1, 290,12
377, 41.5,0,0.0835, 15,0, 282,8
389, 41.5,0.975,0.0835, 16,2, 285,15
401, 41.5,2.25,0.0835, 10,0, 282,11
413, 41.5,3.6,0.0835, 0,0, 0,0
354, 44,-2.25,0.0835, 8,0, 214,6
366, 44,-0.975,0.0835, 8,0, 192,6
378, 44,0,0.0835, 12,0, 206,11
390, 44,0.975,0.0835, 11,0, 212,10
402, 44,2.25,0.0835, 5,0, 224,4
414, 44,3.6,0.0835, 0,0, 0,0
355, 46.5,-2.25,0.0835, 5,0, 302,4
367, 46.5,-0.975,0.0835, 12,0, 283,5
379, 46.5,0,0.0835, 17,1, 303,6
391, 46.5,0.975,0.0835, 10,0, 276,8
403, 46.5,2.25,0.0835, 7,2, 339,12
415, 46.5,3.6,0.0835, 0,0, 0,0
356, 52,-2.25,0.0835, 13,1, 761,19
368, 52,-0.975,0.0835, 44,1, 643,18
380, 52,0,0.0835, 55,1, 681,15
392, 52,0.975,0.0835, 34,1, 618,16
404, 52,2.25,0.0835, 22,0, 786,17
416, 52,3.6,0.0835, 0,0, 0,0
357, 59.5,-2.25,0.0835, 23,1, 495,5
369, 59.5,-0.975,0.0835, 27,0, 441,9
381, 59.5,0,0.0835, 42,0, 509,9
393, 59.5,0.975,0.0835, 35,1, 464,7
405, 59.5,2.25,0.0835, 25,0, 525,10
417, 59.5,3.6,0.0835, 0,0, 0,0
358, 281.5,-2.25,0.0835, 819,2, 3087,15
370, 281.5,-0.975,0.0835, 1864,2, 4684,12
382, 281.5,0,0.0835, 2414,3, 5554,18
394, 281.5,0.975,0.0835, 1783,7, 4532,16
406, 281.5,2.25,0.0835, 805,2, 2960,19
418, 281.5,3.6,0.0835, 0,0, 0,0
433, 14.5,-2.25,0.09, 29,0, 748,7
445, 14.5,-0.975,0.09, 27,1, 623,21
457, 14.5,0,0.09, 50,1, 624,13
469, 14.5,0.975,0.09, 29,0, 572,16
481, 14.5,2.25,0.09, 30,0, 762,8
493, 14.5,3.6,0.09, 0,0, 0,0
434, 31,-2.25,0.09, 11,0, 289,13
446, 31,-0.975,0.09, 13,1, 246,12
458, 31,0,0.09, 26,0, 299,9
470, 31,0.975,0.09, 13,0, 246,12
482, 31,2.25,0.09, 20,0, 299,14
494, 31,3.6,0.09, 0,0, 0,0
435, 35,-2.25,0.09, 10,0, 339,10
447, 35,-0.975,0.09, 18,1, 284,10
459, 35,0,0.09, 20,2, 356,18
471, 35,0.975,0.09, 9,0, 288,16
483, 35,2.25,0.09, 11,0, 330,4
495, 35,3.6,0.09, 0,0, 0,0
436, 38.5,-2.25,0.09, 13,0, 310,8
448, 38.5,-0.975,0.09, 9,1, 267,7
460, 38.5,0,0.09, 24,1, 316,15
472, 38.5,0.975,0.09, 14,2, 288,15
484, 38.5,2.25,0.09, 20,0, 311,8
496, 38.5,3.6,0.09, 0,0, 0,0
437, 41.5,-2.25,0.09, 9,0, 342,14
449, 41.5,-0.975,0.09, 16,0, 365,12
461, 41.5,0,0.09, 12,0, 416,11
473, 41.5,0.975,0.09, 16,0, 396,12
485, 41.5,2.25,0.09, 9,0, 342,8
497, 41.5,3.6,0.09, 0,0, 0,0
438, 44,-2.25,0.09, 4,0, 265,3
450, 44,-0.975,0.09, 9,0, 254,11
462, 44,0,0.09, 12,0, 287,10
474, 44,0.975,0.09, 9,0, 255,10
486, 44,2.25,0.09, 11,0, 270,4
498, 44,3.6,0.09, 0,0, 0,0
439, 46.5,-2.25,0.09, 12,2, 428,13
